front,back,pos,claude_classification
to register/enroll,inscribirse,VERB,6 - Specialized/Nuanced
to inspire,inspirar,VERB,6 - Specialized/Nuanced
to intervene,intervenir,VERB,6 - Specialized/Nuanced
to get irritated,irritarse,VERB,6 - Specialized/Nuanced
to regret/lament,lamentar,VERB,6 - Specialized/Nuanced
to free/liberate,liberar,VERB,6 - Specialized/Nuanced
to limit oneself,limitarse,VERB,6 - Specialized/Nuanced
to locate/find,localizar,VERB,6 - Specialized/Nuanced
to get up early,madrugar,VERB,6 - Specialized/Nuanced
to manifest/express,manifestar,VERB,6 - Specialized/Nuanced
to deserve/merit,merecer,VERB,6 - Specialized/Nuanced
to minimize,minimizar,VERB,6 - Specialized/Nuanced
to mitigate,mitigar,VERB,6 - Specialized/Nuanced
to model/shape,modelar,VERB,6 - Specialized/Nuanced
to normalize,normalizar,VERB,6 - Specialized/Nuanced
to oppose/object,oponerse,VERB,6 - Specialized/Nuanced
to optimize,optimizar,VERB,6 - Specialized/Nuanced
to stop/stand up,pararse,VERB,6 - Specialized/Nuanced
to harm/damage,perjudicar,VERB,6 - Specialized/Nuanced
to belong,pertenecer,VERB,6 - Specialized/Nuanced
to stand firm,plantarse,VERB,6 - Specialized/Nuanced
to make possible,posibilitar,VERB,6 - Specialized/Nuanced
to postpone,postergar,VERB,6 - Specialized/Nuanced
to specify/need,precisar,VERB,6 - Specialized/Nuanced
to budget,presupuestar,VERB,6 - Specialized/Nuanced
to progress,progresar,VERB,6 - Specialized/Nuanced
to prolong/extend,prolongar,VERB,6 - Specialized/Nuanced
to provoke/cause,provocar,VERB,6 - Specialized/Nuanced
to reason,razonar,VERB,6 - Specialized/Nuanced
to react,reaccionar,VERB,6 - Specialized/Nuanced
to reconstruct,reconstruir,VERB,6 - Specialized/Nuanced
to resort to/appeal,recurrir,VERB,6 - Specialized/Nuanced
to write/draft,redactar,VERB,6 - Specialized/Nuanced
to renew/renovate,renovar,VERB,6 - Specialized/Nuanced
to review/go over,repasar,VERB,6 - Specialized/Nuanced
to repress/suppress,reprimir,VERB,6 - Specialized/Nuanced
to challenge,retar,VERB,6 - Specialized/Nuanced
to withdraw/remove,retirar,VERB,6 - Specialized/Nuanced
to beg/pray,rogar,VERB,6 - Specialized/Nuanced
to skip/jump over,saltarse,VERB,6 - Specialized/Nuanced
to sanction/penalize,sancionar,VERB,6 - Specialized/Nuanced
to satisfy,satisfacer,VERB,6 - Specialized/Nuanced
to simulate/pretend,simular,VERB,6 - Specialized/Nuanced
to release/let go,soltar,VERB,6 - Specialized/Nuanced
to suspect,sospechar,VERB,6 - Specialized/Nuanced
to soften/smooth,suavizar,VERB,6 - Specialized/Nuanced
to stagger/wobble,tambalear,VERB,6 - Specialized/Nuanced
to go/come/turn to,acudir,VERB,6 - Specialized/Nuanced
to order/entrust,encargar,VERB,6 - Specialized/Nuanced
to climb/scale,escalar,VERB,6 - Specialized/Nuanced
to predict,predecir,VERB,6 - Specialized/Nuanced
to program/schedule,programar,VERB,6 - Specialized/Nuanced
to regroup,reagrupar,VERB,6 - Specialized/Nuanced
to send/refer,remitir,VERB,6 - Specialized/Nuanced
to locate/place,ubicar,VERB,6 - Specialized/Nuanced
to lie (be lying down),yacer,VERB,6 - Specialized/Nuanced
to be needed,necesitarse,VERB,6 - Specialized/Nuancedxf
to guess,adivinar,VERB,7 - Random Find
to open/to uncover,destapar,VERB,7 - Random Find
to overcome/to go beyond,superar,VERB,7 - Random Find
to promise,prometer,VERB,7 - Random Find
to challenge,desafiar,VERB,7 - Random Find
